StationUID,StationID,AuthorityI,StationNam,StationN_1,originlat,originlon,StationAdd,StationA_1,BikesCapac,HubName,HubDist,wkt
TPE0001,"1",TPE,捷運市政府站(3號出口),MRT Taipei City Hall Stataion(Exit 3)-2,25.040857890000002,121.567904400000003,忠孝東路/松仁路(東南側),The S.W. side of Road Zhongxiao East Road & Road Chung Yan.,"180",BL18,84.240547281116847,"MultiLineString ((121.5679044 25.04085789, 121.567149 25.040903))"
TPE0002,"2",TPE,捷運國父紀念館站(2號出口),MRT S.Y.S Memorial Hall Stataion(Exit 2.),25.041253999999999,121.557419999999993,忠孝東路四段/光復南路口(西南側),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd","48",BL17,62.794652810732792,"MultiLineString ((121.55742 25.041254, 121.557981 25.041195))"
TPE0003,"3",TPE,台北市政府,Taipei City Hall,25.037797220000002,121.565169400000002,台北市政府東門(松智路) (鄰近信義商圈/台北探索館),Taipei City Government Eastgate (Song Zhi Road),"40",BL18,353.505804932958995,"MultiLineString ((121.5651694 25.03779722, 121.565062 25.040971))"
TPE0004,"4",TPE,市民廣場,Citizen Square,25.036036110000001,121.562325000000001,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),The N.W. side of Road Shifu & Road Song Shou.,"60",R03,334.095764025827407,"MultiLineString ((121.562325 25.03603611, 121.561671 25.033107))"
TPE0005,"5",TPE,興雅國中,Xingya Jr. High School,25.036563890000000,121.568663900000004,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),"The S.E. side of Road Songren & Ln. 95, Songren Rd..","60",R02,402.243833289412862,"MultiLineString ((121.5686639 25.03656389, 121.569394 25.033025))"
TPE0006,"6",TPE,臺北南山廣場,NAN SHAN PLAZA,25.034047000000001,121.565973000000000,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),The N.E. side of Road Song Zhi & Road Song Lian.,"80",R03,235.868375184702586,"MultiLineString ((121.565973 25.034047, 121.564112 25.033034))"
TPE0007,"7",TPE,信義廣場(台北101),Xinyi Square(Taipei 101),25.033038890000000,121.565619400000003,松智路/信義路(東北側) (鄰近台北101),The N.E. side of Road Song Zhi & Road Xinyi.,"80",R03,167.803883358825402,"MultiLineString ((121.5656194 25.03303889, 121.564112 25.033034))"
TPE0008,"8",TPE,世貿三館,TWTC Exhibition Hall 3,25.035213890000001,121.563688900000002,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),The S.E. side of Road Shifu & Road Song Shou.,"60",R03,239.210251782072277,"MultiLineString ((121.5636889 25.03521389, 121.563292 25.033102))"
TPE0009,"9",TPE,松德站,Songde,25.031784999999999,121.574479999999994,台北市信義區松德路300號,"No.300, Songde Rd.(32)","40",R02,473.682537112173236,"MultiLineString ((121.57448 25.031785, 121.570408 25.03302))"
TPE0010,"10",TPE,台北市災害應變中心,Emergency Operations Center of Taipei City,25.028661110000002,121.566116699999995,台北市信義區莊敬路391巷11弄2號,"No.2, Aly. 11, Ln. 391, Zhuangjing Rd.","54",R03,531.053731141970161,"MultiLineString ((121.5661167 25.02866111, 121.563646 25.032742))"
