StationAdd,StationA_1,BikesCapac,HubName,HubDist,StationUID,StationID,AuthorityI,StationNam,StationN_1,originlat,originlon,Tlat,Tlon,url,http
忠孝東路/松仁路(東南側),The S.W. side of Road Zhongxiao East Road & Road Chung Yan.,180,BL18,84.24054728,TPE0001,1,TPE,捷運市政府站(3號出口),MRT Taipei City Hall Stataion(Exit 3)-2,25.04085789,121.5679044,25.040903,121.567149,"https://api.mapbox.com/directions/v5/mapbox/walking/121.5679044,25.04085789;121.567149, 25.040903?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.5679044,25.04085789;121.567149, 25.040903?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
忠孝東路四段/光復南路口(西南側),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",48,BL17,62.79465281,TPE0002,2,TPE,捷運國父紀念館站(2號出口),MRT S.Y.S Memorial Hall Stataion(Exit 2.),25.041254,121.55742,25.04119,121.557981,"https://api.mapbox.com/directions/v5/mapbox/walking/121.55742,25.041254;121.557981, 25.04119?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.55742,25.041254;121.557981, 25.04119?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
台北市政府東門(松智路) (鄰近信義商圈/台北探索館),Taipei City Government Eastgate (Song Zhi Road),40,BL18,353.5058049,TPE0003,3,TPE,台北市政府,Taipei City Hall,25.03779722,121.5651694,25.040971,121.565062,"https://api.mapbox.com/directions/v5/mapbox/walking/121.5651694,25.03779722;121.565062, 25.040971?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.5651694,25.03779722;121.565062, 25.040971?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),The N.W. side of Road Shifu & Road Song Shou.,60,R03,334.095764,TPE0004,4,TPE,市民廣場,Citizen Square,25.03603611,121.562325,25.033107,121.5616,"https://api.mapbox.com/directions/v5/mapbox/walking/121.562325,25.03603611;121.5616, 25.033107?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.562325,25.03603611;121.5616, 25.033107?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),"The S.E. side of Road Songren & Ln. 95, Songren Rd..",60,R02,402.2438333,TPE0005,5,TPE,興雅國中,Xingya Jr. High School,25.03656389,121.5686639,25.033025,121.569394,"https://api.mapbox.com/directions/v5/mapbox/walking/121.5686639,25.03656389;121.569394, 25.033025?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.5686639,25.03656389;121.569394, 25.033025?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),The N.E. side of Road Song Zhi & Road Song Lian.,80,R03,235.8683752,TPE0006,6,TPE,臺北南山廣場,NAN SHAN PLAZA,25.034047,121.565973,25.033034,121.564112,"https://api.mapbox.com/directions/v5/mapbox/walking/121.565973,25.034047;121.564112, 25.033034?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.565973,25.034047;121.564112, 25.033034?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松智路/信義路(東北側) (鄰近台北101),The N.E. side of Road Song Zhi & Road Xinyi.,80,R03,167.8038834,TPE0007,7,TPE,信義廣場(台北101),Xinyi Square(Taipei 101),25.03303889,121.5656194,25.033034,121.564112,"https://api.mapbox.com/directions/v5/mapbox/walking/121.5656194,25.03303889;121.564112, 25.033034?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.5656194,25.03303889;121.564112, 25.033034?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),The S.E. side of Road Shifu & Road Song Shou.,60,R03,239.2102518,TPE0008,8,TPE,世貿三館,TWTC Exhibition Hall 3,25.03521389,121.5636889,25.033102,121.563292,"https://api.mapbox.com/directions/v5/mapbox/walking/121.5636889,25.03521389;121.563292, 25.033102?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.5636889,25.03521389;121.563292, 25.033102?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
台北市信義區松德路300號,"No.300, Songde Rd.(32)",40,R02,473.6825371,TPE0009,9,TPE,松德站,Songde,25.031785,121.57448,25.03302,121.570408,"https://api.mapbox.com/directions/v5/mapbox/walking/121.57448,25.031785;121.570408, 25.03302?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.57448,25.031785;121.570408, 25.03302?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
台北市信義區莊敬路391巷11弄2號,"No.2, Aly. 11, Ln. 391, Zhuangjing Rd.",54,R03,531.0537311,TPE0010,10,TPE,台北市災害應變中心,Emergency Operations Center of Taipei City,25.02866111,121.5661167,25.032742,121.563646,"https://api.mapbox.com/directions/v5/mapbox/walking/121.5661167,25.02866111;121.563646, 25.032742?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.5661167,25.02866111;121.563646, 25.032742?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
光復南路/基隆路一段364巷(鄰近大安親子館),"The S.E. side of Road Guangfu South & Ln. 346, Sec. 1, Keelung Rd.",50,R04,489.7571433,TPE0011,11,TPE,三張犁,Sanchangli,25.034937,121.55762,25.03332,121.553526,"https://api.mapbox.com/directions/v5/mapbox/walking/121.55762,25.034937;121.553526, 25.03332?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.55762,25.034937;121.553526, 25.03332?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學),"Aly. 59, Ln. 220, Wuxing St.",48,R03,674.2360208,TPE0012,12,TPE,臺北醫學大學,Taipei Medical University,25.026679,121.561747,25.032733,121.561564,"https://api.mapbox.com/directions/v5/mapbox/walking/121.561747,25.026679;121.561564, 25.032733?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.561747,25.026679;121.561564, 25.032733?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
大道路/福德街路口北西側,The N.W. side of Road Dadao & St. Fude.,58,BL20,656.7248521,TPE0013,13,TPE,福德公園,Fude Park,25.03809,121.58367,25.0437,121.581854,"https://api.mapbox.com/directions/v5/mapbox/walking/121.58367,25.03809;121.581854, 25.04370?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.58367,25.03809;121.581854, 25.04370?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園)),The S.W. side of St.Wuchang & Road Longjiang.,32,BR12,552.4870776,TPE0014,14,TPE,榮星花園,Rongxing Park,25.06424,121.54037,25.06088,121.544031,"https://api.mapbox.com/directions/v5/mapbox/walking/121.54037,25.06424;121.544031, 25.06088?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.54037,25.06424;121.544031, 25.06088?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
林口街/福德街(東南側),The S.E. side of St. Linkou & St. Fude.,48,BL19,587.540708,TPE0016,16,TPE,松山家商,Songshan Vocational High School,25.036084,121.579135,25.040699,121.576574,"https://api.mapbox.com/directions/v5/mapbox/walking/121.579135,25.036084;121.576574, 25.040699?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.579135,25.036084;121.576574, 25.040699?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
光復北路/民生東路(西北側),The N.W. side of Road Guangfu S & Road Minsheng E.,34,BR13,577.5755755,TPE0017,17,TPE,民生光復路口,Minsheng & Guangfu Intersection,25.05862,121.55514,25.06292,121.552241,"https://api.mapbox.com/directions/v5/mapbox/walking/121.55514,25.05862;121.552241, 25.06292?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.55514,25.05862;121.552241, 25.06292?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
北寧路34號 對側(鄰近台北田徑場),"No.25, Sec. 3, Bade Rd.",40,G17,235.2048075,TPE0018,18,TPE,臺北市藝文推廣處,Taipei City Arts Promotion Office,25.049408,121.55261,25.05152,121.552549,"https://api.mapbox.com/directions/v5/mapbox/walking/121.55261,25.049408;121.552549, 25.05152?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.55261,25.049408;121.552549, 25.05152?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松仁路153巷17號對面(鄰近象山步道),"No.17, Ln. 153, Songren Rd",30,R02,415.8896325,TPE0019,19,TPE,象山公園,Xiangshan Park,25.02863,121.56981,25.03236,121.569809,"https://api.mapbox.com/directions/v5/mapbox/walking/121.56981,25.02863;121.569809, 25.03236?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.56981,25.02863;121.569809, 25.03236?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
科技大樓站對面(復興南路2段西側)(鄰近資訊科學展示中心),"No.235, Sec. 2, Fusing S. Rd.",58,BR08,47.77837213,TPE0020,20,TPE,捷運科技大樓站,MRT Technology Bldg. Sta.,25.025896,121.543293,25.026154,121.543636,"https://api.mapbox.com/directions/v5/mapbox/walking/121.543293,25.025896;121.543636, 25.026154?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.543293,25.025896;121.543636, 25.026154?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
敦化民生路口公車站旁,The side of bus stop- Dunhua Minsheng Intersection.,66,BR12,638.9546481,TPE0021,21,TPE,民生敦化路口,Minsheng & Dunhua Intersection,25.057985,121.548982,25.060889,121.544031,"https://api.mapbox.com/directions/v5/mapbox/walking/121.548982,25.057985;121.544031, 25.060889?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.548982,25.057985;121.544031, 25.060889?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松山車站西出口外自行車格內(鄰近饒河街夜市/五分埔),Bicycle parking lot- West exit in Songshan station,44,G19,120.927301,TPE0022,22,TPE,松山車站,Songshan Rail Sta.,25.048824,121.57845,25.04979,121.577971,"https://api.mapbox.com/directions/v5/mapbox/walking/121.57845,25.048824;121.577971, 25.04979?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.57845,25.048824;121.577971, 25.04979?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
東新國小側門(東明街62號前),"A side entrance of Dongxin Elementery School(front of No. 62, Dongxin St.)",32,BL22,530.0380267,TPE0023,23,TPE,東新國小,Dongxin Elementary School,25.055074,121.602798,25.051911,121.606357,"https://api.mapbox.com/directions/v5/mapbox/walking/121.602798,25.055074;121.606357, 25.051911?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.602798,25.055074;121.606357, 25.051911?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
