名稱,地址,種類,lon,lat
國立臺北教大實小,臺北市大安區龍淵里和平東路2段94號,國小,121.5409461,25.0250425
國立政大實小,臺北市文山區指南路三段12號,國小,121.5798589,24.9845888
國立台灣戲曲學院(國小部),臺北市內湖路二段177號,國小,121.586822,25.081714
市立松山國小,臺北市松山區八德路四段746號,國小,121.5789376,25.0512297
市立西松國小,臺北市松山區東光里三民路5號,國小,121.5634876,25.0523018
市立敦化國小,臺北市松山區中正里敦化北路2號,國小,121.5481039,25.0491523
市立民生國小,臺北市松山區敦化北路199巷18號,國小,121.5521795,25.0565153
市立民權國小,臺北市松山區民權東路四段200號,國小,121.5623038,25.0623873
市立民族國小,臺北市松山區民生東路4段97巷7號,國小,121.5517982,25.0594953
市立三民國小,臺北市松山區莊敬里民權東路五段1號,國小,121.5642866,2269999999
市立健康國小,臺北市松山區延壽街168號,國小,121.5627846,25.0566674
市立興雅國小,臺北市信義區雅祥里基隆路1段83巷9號,國小,121.5696554,",25.047249"
市立永春國小,臺北市信義區永春里松山路225巷48號,國小,121.579286,25.044148
市立光復國小,臺北市信義區光復南路271號,國小,121.557962,25.040623
市立三興國小,臺北市信義區景聯里基隆路2段99號,國小,121.558267,25.029467
市立信義國小,臺北市信義區松勤街60號,國小,121.563181,25.031566
市立吳興國小,臺北市信義區松仁路226號,國小,121.5687156,25.0257427
市立福德國小,臺北市信義區中行里褔德街253號,國小,121.5866882,25.0388636
市立永吉國小,臺北市信義區永春里松山路287巷5號,國小,121.5798853,25.0430088
市立博愛國小,臺北市信義區松仁路22鄰95巷20號,國小,121.5708752,25.0363471
市立龍安國小,臺北市大安區龍門里新生南路3段33號,國小,121.5349274,25.0239196
市立大安國小,臺北市大安區芳和里臥龍街129號,國小,121.5503468,",25.018933"
市立幸安國小,臺北市大安區民炤里仁愛路3段22號,國小,121.53495,25.03762
市立建安國小,臺北市大安區龍雲里大安路2段99號,國小,121.546212,5.0293537
市立仁愛國小,臺北市大安區敦安里安和路1段60號,國小,121.5521443,25.0358446
市立金華國小,臺北市大安區永康里愛國東路79巷11號,國小,121.5277667,25.0322766
市立古亭國小,臺北市大安區古風里羅斯福路3段201號,國小,121.5287608,9939999999
市立銘傳國小,臺北市大安區農場里羅斯褔路四段21號,國小,121.53542,25.01406
市立公館國小,臺北市大安區基隆路4段41巷68弄2號,國小,121.5428436,25.0124219
市立新生國小,臺北市大安區新生南路二段36號,國小,121.53329,25.02967
市立和平實小,臺北市大安區敦南街76巷28號,國小,121.546580,25.020771
市立中山國小,臺北市中山區恆安里民權東路1段69號,國小,121.526315,25.062913
市立中正國小,臺北市中山區力行里龍江路62號,國小,121.5393708,25.0506621
市立長安國小,臺北市中山區興亞里吉林路15號,國小,121.5301139,25.0495306
市立長春國小,臺北市中山區中央里長春路165號,國小,121.533902,5.0550146
市立大直國小,臺北市中山區大直里大直街2號,國小,121.5464127,25.0805261
市立大佳國小,臺北市中山區大佳里6鄰濱江街107號,國小,121.5363585,25.0733502
市立五常國小,臺北市中山區下埤里五常街16號,國小,121.5418175,25.0640119
市立吉林國小,臺北市中山區中原里長春路116號,國小,121.52963,5.054717
市立懷生國小,臺北市中山區埤頭里安東街16巷2號,國小,121.5417844,25.0452404
市立永安國小,臺北市中山區明水路397巷19弄1號,國小,121.549700,25.079321
市立濱江國小,臺北市中山區樂群二路266巷99號,國小,121.5609806,25.0768972
市立螢橋國小,臺北市中正區螢雪里詔安街29號,國小,121.5144111,"1,25.02495"
市立河堤國小,臺北市中正區汀州路二段180號,國小,121.5221913,25.0228604
市立忠義國小,臺北市中正區中華路二段307巷17號,國小,121.5061869,9969999999
市立國語實小,臺北市中正區龍光里南海路58號,國小,121.5107087,25.0307217
市立南門國小,臺北市中正區南門里廣州街6號,國小,121.5090686,25.0352657
市立東門國小,臺北市中正區東門里仁愛路一段2-4號,國小,121.5208667,25.0386108
市立忠孝國小,臺北市中正區梅花里忠孝東路2段101號,國小,121.5315325,25.0429269
