StationUID,build-area-size
TPE0190,64153.219
TPE0054,49365.474
TPE0053,57392.670
TPE0193,49115.620
TPE0192,70431.996
TPE0056,54717.027
TPE0195,76152.362
TPE0055,66970.985
TPE0194,73593.877
TPE0058,54521.937
TPE0057,50974.260
TPE0059,41608.067
TPE0061,71405.007
TPE0060,99905.529
TPE0063,79539.197
TPE0062,60870.355
TPE0043,48734.626
TPE0315,54591.211
TPE0042,61662.052
TPE0314,77211.198
TPE0045,71212.115
TPE0317,90237.820
TPE0044,27765.089
TPE0316,60198.838
TPE0319,84277.096
TPE0047,57778.744
TPE0318,34468.176
TPE0046,70514.043
TPE0049,75919.453
TPE0048,27382.175
TPE0311,53523.944
TPE0050,28949.904
TPE0310,47998.469
TPE0313,30928.305
TPE0052,48800.919
TPE0051,28861.324
TPE0312,59782.708
TPE0076,77772.528
TPE0304,80434.395
TPE0303,32335.010
TPE0075,67231.650
TPE0306,63010.338
TPE0078,59190.237
TPE0305,52928.380
TPE0077,56488.064
TPE0308,84309.153
TPE0079,64367.634
TPE0307,85409.472
TPE0309,59693.095
TPE0081,103353.896
TPE0080,108684.175
TPE0300,39974.759
TPE0083,47416.946
TPE0082,27565.477
TPE0085,89291.020
TPE0302,38959.319
TPE0301,69908.492
TPE0084,67831.759
TPE0065,69228.649
TPE0064,30572.115
TPE0067,89710.937
TPE0066,97621.656
TPE0069,77254.921
TPE0068,68214.210
TPE0337,20360.594
TPE0336,64845.559
TPE0070,56859.148
TPE0339,61286.366
TPE0338,63174.563
TPE0072,72434.591
TPE0071,78049.219
TPE0074,65870.883
TPE0073,39287.731
TPE0331,78468.442
TPE0330,44995.633
TPE0333,48320.672
TPE0332,108227.823
TPE0335,66101.439
TPE0334,72750.579
TPE0216,61965.645
TPE0215,71988.480
TPE0218,79204.053
TPE0217,65957.053
TPE0098,58047.410
TPE0219,92029.014
TPE0097,30218.027
TPE0099,103194.940
TPE0210,46779.896
TPE0212,65506.487
TPE0211,57332.461
TPE0214,76951.274
TPE0326,80369.182
TPE0213,96566.492
TPE0325,54453.088
TPE0328,75371.730
TPE0327,91465.630
TPE0329,45849.663
TPE0320,29613.768
TPE0322,72204.642
TPE0321,70211.030
TPE0324,106303.012
TPE0323,69478.423
TPE0205,72926.543
TPE0204,51290.945
TPE0207,35802.115
TPE0206,45074.800
TPE0209,57982.396
TPE0087,83267.438
TPE0208,106887.869
TPE0086,61516.109
TPE0089,80232.637
TPE0088,19282.300
TPE0201,10255.018
TPE0090,95682.121
TPE0203,63703.962
TPE0359,53100.332
TPE0202,69976.093
TPE0358,27334.177
TPE0092,69874.202
TPE0091,39358.983
TPE0094,110058.318
TPE0093,106896.007
