StationUID,StationID,StationName.Zh_tw,StationName.En,StationPosition.PositionLat,StationPosition.PositionLon,StationAddress,BikeAllowOnHoliday
TRTC-BR01,BR01,動物園,Taipei Zoo,24.998205,121.579501,11656臺北市文山區新光路2段32號,FALSE
TRTC-BR02,BR02,木柵,Muzha,24.99824,121.573127,11656臺北市文山區木柵路4段135號,FALSE
TRTC-BR03,BR03,萬芳社區,Wanfang Community,24.99857,121.568088,11653臺北市文山區萬芳路60號,FALSE
TRTC-BR04,BR04,萬芳醫院,Wanfang Hospital,24.99932,121.558092,11696臺北市文山區興隆路3段113號,FALSE
TRTC-BR05,BR05,辛亥,Xinhai,25.005455,121.557046,11694臺北市文山區辛亥路4段128號,FALSE
TRTC-BR06,BR06,麟光,Linguang,25.018495,121.558834,10676臺北市大安區和平東路3段410號,FALSE
TRTC-BR07,BR07,六張犁,Liuzhangli,25.02381,121.55302,10674臺北市大安區和平東路3段168號,FALSE
TRTC-BR08,BR08,科技大樓,Technology Building,25.02612,121.543462,10667臺北市大安區復興南路2段235號,FALSE
TRTC-BR09,BR09,大安,Daan,25.033311,121.54237,10683臺北市大安區信義路4段2號,FALSE
TRTC-BR10,BR10,忠孝復興,Zhongxiao Fuxing,25.041749,121.545026,10654臺北市大安區忠孝東路3段302號,FALSE
TRTC-BR11,BR11,南京復興,Nanjing Fuxing,25.052044,121.544303,10550臺北市松山區南京東路3段253號,TRUE
TRTC-BR12,BR12,中山國中,Zhongshan Junior High School,25.06085,121.544215,10476臺北市中山區復興北路376號,FALSE
TRTC-BR13,BR13,松山機場,Songshan Airport,25.062908,121.55201,10576臺北市松山區敦化北路338號,FALSE
TRTC-BR14,BR14,大直,Dazhi,25.07943,121.54679,10465臺北市中山區北安路534之1號,FALSE
TRTC-BR15,BR15,劍南路,Jiannan Rd.,25.08483,121.555582,10464臺北市中山區北安路798號,FALSE
TRTC-BR16,BR16,西湖,Xihu,25.08216,121.567227,11493臺北市內湖區內湖路1段256號,FALSE
TRTC-BR17,BR17,港墘,Gangqian,25.08007,121.57516,11446臺北市內湖區內湖路1段663號,FALSE
TRTC-BR18,BR18,文德,Wende,25.078455,121.584999,11475臺北市內湖區文德路214號,FALSE
TRTC-BR19,BR19,內湖,Neihu,25.083675,121.594363,11489臺北市內湖區成功路4段186號,FALSE
TRTC-BR20,BR20,大湖公園,Dahu Park,25.083805,121.602214,11477臺北市內湖區成功路5段11號,FALSE
TRTC-BR21,BR21,葫洲,Huzhou,25.07271,121.607146,11486臺北市內湖區康寧路3段16號,FALSE
TRTC-BR22,BR22,東湖,Donghu,25.067455,121.611535,11486臺北市內湖區康寧路3段235號,FALSE
TRTC-BR23,BR23,南港軟體園區,Nangang Software Park,25.05992,121.615,11568臺北市南港區經貿二路183號,FALSE
TRTC-BR24,BR24,南港展覽館,Taipei Nangang Exhibition Center,25.054919,121.616861,11568臺北市南港區南港路1段32號,FALSE
TRTC-R02,R02,象山,Xiangshan,25.032395,121.570116,11080臺北市信義區信義路5段152號B1,TRUE
TRTC-R03,R03,台北101/世貿,Taipei 101/World Trade Center,25.032865,121.563667,11049臺北市信義區信義路5段20號B1,TRUE
TRTC-R04,R04,信義安和,Xinyi Anhe,25.033015,121.552326,10681臺北市大安區信義路4段212之1號B1,TRUE
TRTC-R05,R05,大安,Daan,25.033311,121.54237,10658臺北市大安區信義路3段180號,FALSE
TRTC-R06,R06,大安森林公園,Daan Park,25.033225,121.536151,10656臺北市大安區信義路3段100號B1,TRUE
TRTC-R07,R07,東門,Dongmen,25.033894,121.528766,10650臺北市大安區信義路2段166號B1,TRUE
TRTC-R08,R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,25.032767,121.518273,10074臺北市中正區羅斯福路1段8之1號B1  ,TRUE
TRTC-R09,R09,台大醫院,NTU Hospital,25.041399,121.51602,10048臺北市中正區公園路52號B1,TRUE
TRTC-R10,R10,台北車站,Taipei Main Station,25.04631,121.517415,10041臺北市中正區忠孝西路1段49號,FALSE
TRTC-R11,R11,中山,Zhongshan,25.052621,121.520364,10444臺北市中山區南京西路16號,TRUE
TRTC-R12,R12,雙連,Shuanglian,25.057575,121.520685,10354臺北市大同區民生西路47號,TRUE
TRTC-R13,R13,民權西路,Minzuan W. Rd.,25.06235,121.519585,10365臺北市大同區民權西路72號,TRUE
TRTC-R14,R14,圓山,Yuanshan,25.071409,121.520074,10367臺北市大同區酒泉街9之1號,TRUE
TRTC-R15,R15,劍潭,Jiantan,25.084201,121.524955,11163臺北市士林區中山北路5段65號,TRUE
TRTC-R16,R16,士林,Shilin,25.093492,121.52623,11163臺北市士林區福德路1號,TRUE
TRTC-R17,R17,芝山,Zhishan,25.102718,121.522546,11158臺北市士林區福國路70號,TRUE
TRTC-R18,R18,明德,Mingde,25.109815,121.518785,11280臺北市北投區明德路95號,TRUE
TRTC-R19,R19,石牌,Shipai,25.114455,121.515572,11271臺北市北投區石牌路1段200號,TRUE
TRTC-R20,R20,唭哩岸,Qilian,25.120852,121.506234,11265臺北市北投區東華街2段301號,TRUE
TRTC-R21,R21,奇岩,Qiyan,25.12547,121.50114,11270臺北市北投區三合街2段489號,TRUE
TRTC-R22,R22,北投,Beitou,25.131819,121.498648,11246臺北市北投區光明路1號,TRUE
TRTC-R22A,R22A,新北投,Xinbeitou,25.136931,121.502595,11268臺北市北投區大業路700號,TRUE
TRTC-R23,R23,復興崗,Fuxinggang,25.137497,121.485456,11257臺北市北投區中央北路3段53巷10號,TRUE
TRTC-R24,R24,忠義,Zhongyi,25.130923,121.473298,11257臺北市北投區中央北路4段301號,TRUE
