StationID,StationName.Zh_tw,StationName.En,ExitID,ExitName.Zh_tw,ExitName.En,ExitPosition.PositionLat,ExitPosition.PositionLon,LocationDescription,Stair,Escalator,Elevator
BR01,動物園,Taipei Zoo,1,動物園站出口1,Taipei Zoo Exit 1,24.99825,121.579916,新光路2段(臨動物園),TRUE,1,TRUE
BR01,動物園,Taipei Zoo,2,動物園站出口2,Taipei Zoo Exit 2,24.997948,121.579417,新光路2段(臨貓空纜車),TRUE,2,TRUE
BR02,木柵,Muzha,0,木柵站出口,Muzha Exit ,24.998174,121.573417,木柵路4段135號,TRUE,0,TRUE
BR03,萬芳社區,Wanfang Community,0,萬芳社區站出口,Wanfang Community Exit,24.99858,121.568409,萬芳路與萬和街交叉口,TRUE,0,TRUE
BR04,萬芳醫院,Wanfang Hospital,0,萬芳醫院站出口,Wanfang Hospital Exit,24.999383,121.557737,興隆路3段113號,TRUE,1,TRUE
BR05,辛亥,Xinhai,0,辛亥站出口,Xinhai Exit,25.005119,121.557021,辛亥路4段128號,TRUE,0,TRUE
BR06,麟光,Linguang,0,麟光站出口,Linguang Exit,25.018554,121.558606,和平東路3段410號,TRUE,0,TRUE
BR07,六張犁,Liuzhangli,0,六張犁站出口,Liuzhangli Exit,25.023852,121.552737,和平東路3段與基隆路2段交叉口,TRUE,1,TRUE
BR08,科技大樓,Technology Building,0,科技大樓站出口,Technology Building Exit,25.026154,121.543636,近復興南路2段與和平東路2段交叉口,TRUE,1,TRUE
BR09,大安,Daan,1,大安站出口1,Daan Exit 1,25.033508,121.541949,信義路3段147-1號、近147巷口、近台北農會信義大樓,TRUE,2,FALSE
BR09,大安,Daan,2,大安站出口2,Daan Exit 2,25.033515,121.541826,信義路3段145號、師大附中旁,TRUE,0,FALSE
BR09,大安,Daan,3,大安站出口3,Daan Exit 3,25.033241,121.54233,信義路3段180號、近166巷口,TRUE,2,FALSE
BR09,大安,Daan,4,大安站出口4,Daan Exit 4,25.033066,121.544057,信義路4段2號與復興南路2段交叉口,TRUE,1,TRUE
BR09,大安,Daan,5,大安站出口5,Daan Exit 5,25.032862,121.543719,信義路4段與復興南路2段交叉、近信義路4段30巷8弄口,TRUE,0,FALSE
BR09,大安,Daan,6,大安站出口6,Daan Exit 6,25.034006,121.543749,復興南路1段317號,TRUE,2,FALSE
BR10,忠孝復興,Zhongxiao Fuxing,1,忠孝復興站出口1,Zhongsxiao Fuxing Exit 1,25.041797,121.543143,忠孝東路3段291號與安東街交叉口,TRUE,2,FALSE
BR10,忠孝復興,Zhongxiao Fuxing,2,忠孝復興站出口2,Zhongsxiao Fuxing Exit 2,25.041355,121.543422,忠孝東路3段與復興南路1段交叉口，近SOGO百貨復興館,TRUE,1,TRUE
BR10,忠孝復興,Zhongxiao Fuxing,3,忠孝復興站出口3,Zhongsxiao Fuxing Exit 3,25.041467,121.544806,忠孝東路4段52號、SOGO百貨忠孝館對面,TRUE,2,FALSE
BR10,忠孝復興,Zhongxiao Fuxing,4,忠孝復興站出口4,Zhongsxiao Fuxing Exit 4,25.041772,121.54506,忠孝東路4段47號、近SOGO百貨忠孝館,TRUE,2,FALSE
BR10,忠孝復興,Zhongxiao Fuxing,5,忠孝復興站出口5,Zhongsxiao Fuxing Exit 5,25.04202,121.543985,復興南路1段153號,TRUE,0,FALSE
BR11,南京復興,Nanjing Fuxing,1,南京復興站出口1,Nanjing Fuxing Exit 1,25.052625,121.542121,遼寧街與遼寧街155巷口,TRUE,1,TRUE
BR11,南京復興,Nanjing Fuxing,2,南京復興站出口2,Nanjing Fuxing Exit 2,25.051748,121.541863,南京東路3段與遼寧街口西南隅,TRUE,1,TRUE
BR11,南京復興,Nanjing Fuxing,3,南京復興站出口3,Nanjing Fuxing Exit 3,25.051719,121.543237,南京東路3段與復興北路口西南隅、近南京東路3段194巷,FALSE,2,FALSE
BR11,南京復興,Nanjing Fuxing,4,南京復興站出口4,Nanjing Fuxing Exit 4,25.051719,121.543237,南京東路3段與復興北路口西南隅、近南京東路3段216巷,FALSE,3,FALSE
BR11,南京復興,Nanjing Fuxing,5,南京復興站出口5,Nanjing Fuxing Exit 5,25.051727,121.544338,南京東路3段與復興北路口東南隅、近南京東路3段256巷,TRUE,2,FALSE
BR11,南京復興,Nanjing Fuxing,6,南京復興站出口6,Nanjing Fuxing Exit 6,25.052057,121.544908,南京東路3段(北側)、近兄弟飯店,TRUE,0,FALSE
BR11,南京復興,Nanjing Fuxing,8,南京復興站出口8,Nanjing Fuxing Exit 8,25.052018,121.543819,南京東路3段與復興北路口西北隅,TRUE,2,FALSE
BR11,南京復興,Nanjing Fuxing,7,南京復興站出口7,Nanjing Fuxing Exit 7,25.052329,121.54447,南京東路3段與復興北路口東北隅(臨慶城街)、兄弟飯店旁,TRUE,1,TRUE
BR12,中山國中,Zhongshan Junior High School,0,中山國中站出口,Zhongshan Junior High School Exit,25.060889,121.544031,近民權東路3段與復興北路交叉口,TRUE,1,TRUE
BR13,松山機場,Songshan Airport,1,松山機場站出口1,Songshan Airport  Exit 1,25.063717,121.552335,松山機場東側,TRUE,2,TRUE
BR13,松山機場,Songshan Airport,2,松山機場站出口2,Songshan Airport  Exit 2,25.063673,121.551294,松山機場西側,TRUE,3,TRUE
BR13,松山機場,Songshan Airport,3,松山機場站出口3,Songshan Airport  Exit 3,25.062923,121.552241,松山機場正前方約40公尺,TRUE,1,TRUE
BR14,大直,Dazhi,1,大直站出口1,Dazhi Exit 1,25.080118,121.547104,大直街(大直婦女中心),TRUE,1,TRUE
BR14,大直,Dazhi,2,大直站出口2,Dazhi Exit 2,25.079584,121.546823,北安路與大直街交叉口,TRUE,2,FALSE
BR14,大直,Dazhi,3,大直站出口3,Dazhi Exit 3,25.07931,121.546901,北安路與大直街交叉口(臨海基會),FALSE,1,TRUE
BR15,劍南路,Jiannan Rd.,1,劍南路站出口1,Jiannan Rd. Exit 1,25.085174,121.555226,北安路811巷,TRUE,0,TRUE
BR15,劍南路,Jiannan Rd.,2,劍南路站出口2,Jiannan Rd. Exit 2,25.084754,121.555097,北安路798號,TRUE,3,TRUE
BR15,劍南路,Jiannan Rd.,3,劍南路站出口3,Jiannan Rd. Exit 3,25.084484,121.556098,北安路798號,TRUE,1,FALSE
BR16,西湖,Xihu,1,西湖站出口1,Xihu Exit 1,25.082339,121.566647,內湖路1段(西湖市場旁),TRUE,1,TRUE
BR16,西湖,Xihu,2,西湖站出口2,Xihu Exit 2,25.082023,121.567141,內湖路1段(臨基湖路),TRUE,1,TRUE
BR17,港墘,Gangqian,1,港墘站出口1,Gangqian Exit 1,25.080152,121.57556,臨內湖路1段667巷,TRUE,1,TRUE
BR17,港墘,Gangqian,2,港墘站出口2,Gangqian Exit 2,25.080065,121.574704,內湖路1段(臨內湖高工),TRUE,1,TRUE
BR18,文德,Wende,1,文德站出口1,Wende Exit 1,25.078671,121.58564,文德路(內湖高中對面),TRUE,3,TRUE
BR18,文德,Wende,2,文德站出口2,Wende Exit 2,25.078408,121.58447,文德路(內湖高中旁),TRUE,1,TRUE
BR19,內湖,Neihu,1,內湖站出口1,Neihu Exit 1,25.083745,121.594266,臨成功路4段182巷,TRUE,1,TRUE
BR19,內湖,Neihu,2,內湖站出口2,Neihu Exit 2,25.083636,121.594612,臨成功路4段167巷,TRUE,3,TRUE
BR20,大湖公園,Dahu Park,1,大湖公園站出口1,Dahu Park Exit 1,25.083894,121.602377,成功路5段(大湖山莊街),TRUE,3,TRUE
BR20,大湖公園,Dahu Park,2,大湖公園站出口2,Dahu Park Exit 2,25.083675,121.60221,成功路5段(大湖公園),TRUE,1,TRUE
BR21,葫洲,Huzhou,1,葫洲站出口1,Huzhou Exit 1,25.072638,121.608047,康寧路3段39號旁,TRUE,3,TRUE
BR21,葫洲,Huzhou,2,葫洲站出口2,Huzhou Exit 2,25.072534,121.607197,康寧路3段16巷側,TRUE,1,TRUE
BR22,東湖,Donghu,1,東湖站出口1,Donghu Exit 1,25.067218,121.611129,康寧路3段(臨康寧公園),TRUE,0,TRUE
BR22,東湖,Donghu,2,東湖站出口2,Donghu Exit 2,25.067111,121.611239,康寧路3段(臨南湖高中),TRUE,3,TRUE
BR22,東湖,Donghu,3,東湖站出口3,Donghu Exit 3,25.067053,121.611724,康寧路3段(臨安康公園),TRUE,1,TRUE
BR23,南港軟體園區,Nangang Software Park,1,南港軟體園區站出口1,Nangang Software Park Exit 1,25.059995,121.615817,臨經貿二路185巷,TRUE,3,TRUE
BR23,南港軟體園區,Nangang Software Park,2,南港軟體園區站出口2,Nangang Software Park Exit 2,25.059883,121.616091,臨經貿二路185巷,TRUE,3,TRUE
