StationUID,StationID,AuthorityID,StationName.Zh_tw,StationName.En,StationPosition.PositionLat,StationPosition.PositionLon,StationAddress.Zh_tw,StationAddress.En,BikesCapacity
TPE0001,0001,TPE,捷運市政府站(3號出口),MRT Taipei City Hall Stataion(Exit 3)-2,25.04085789,121.5679044,忠孝東路/松仁路(東南側),The S.W. side of Road Zhongxiao East Road & Road Chung Yan.,180
TPE0002,0002,TPE,捷運國父紀念館站(2號出口),MRT S.Y.S Memorial Hall Stataion(Exit 2.),25.041254,121.55742,忠孝東路四段/光復南路口(西南側),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",48
TPE0003,0003,TPE,台北市政府,Taipei City Hall,25.03779722,121.5651694,台北市政府東門(松智路) (鄰近信義商圈/台北探索館),Taipei City Government Eastgate (Song Zhi Road),40
TPE0004,0004,TPE,市民廣場,Citizen Square,25.03603611,121.562325,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),The N.W. side of Road Shifu & Road Song Shou.,60
TPE0005,0005,TPE,興雅國中,Xingya Jr. High School,25.03656389,121.5686639,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),"The S.E. side of Road Songren & Ln. 95, Songren Rd..",60
TPE0006,0006,TPE,臺北南山廣場,NAN SHAN PLAZA,25.034047,121.565973,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),The N.E. side of Road Song Zhi & Road Song Lian.,80
TPE0007,0007,TPE,信義廣場(台北101),Xinyi Square(Taipei 101),25.03303889,121.5656194,松智路/信義路(東北側) (鄰近台北101),The N.E. side of Road Song Zhi & Road Xinyi.,80
TPE0008,0008,TPE,世貿三館,TWTC Exhibition Hall 3,25.03521389,121.5636889,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),The S.E. side of Road Shifu & Road Song Shou.,60
TPE0009,0009,TPE,松德站,Songde,25.031785,121.57448,台北市信義區松德路300號,"No.300, Songde Rd.(32)",40
TPE0010,0010,TPE,台北市災害應變中心,Emergency Operations Center of Taipei City,25.02866111,121.5661167,台北市信義區莊敬路391巷11弄2號,"No.2, Aly. 11, Ln. 391, Zhuangjing Rd.",54
TPE0011,0011,TPE,三張犁,Sanchangli,25.034937,121.55762,光復南路/基隆路一段364巷(鄰近大安親子館),"The S.E. side of Road Guangfu South & Ln. 346, Sec. 1, Keelung Rd.",50
TPE0012,0012,TPE,臺北醫學大學,Taipei Medical University,25.026679,121.561747,台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學),"Aly. 59, Ln. 220, Wuxing St.",48
TPE0013,0013,TPE,福德公園,Fude Park,25.03809,121.58367,大道路/福德街路口北西側,The N.W. side of Road Dadao & St. Fude.,58
TPE0014,0014,TPE,榮星花園,Rongxing Park,25.06424,121.54037,五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園)),The S.W. side of St.Wuchang & Road Longjiang.,32
TPE0016,0016,TPE,松山家商,Songshan Vocational High School,25.036084,121.579135,林口街/福德街(東南側),The S.E. side of St. Linkou & St. Fude.,48
TPE0017,0017,TPE,民生光復路口,Minsheng & Guangfu Intersection,25.05862,121.55514,光復北路/民生東路(西北側),The N.W. side of Road Guangfu S & Road Minsheng E.,34
TPE0018,0018,TPE,臺北市藝文推廣處,Taipei City Arts Promotion Office,25.049408,121.55261,北寧路34號 對側(鄰近台北田徑場),"No.25, Sec. 3, Bade Rd.",40
TPE0019,0019,TPE,象山公園,Xiangshan Park,25.02863,121.56981,松仁路153巷17號對面(鄰近象山步道),"No.17, Ln. 153, Songren Rd",30
TPE0020,0020,TPE,捷運科技大樓站,MRT Technology Bldg. Sta.,25.025896,121.543293,科技大樓站對面(復興南路2段西側)(鄰近資訊科學展示中心),"No.235, Sec. 2, Fusing S. Rd.",58
TPE0021,0021,TPE,民生敦化路口,Minsheng & Dunhua Intersection,25.057985,121.548982,敦化民生路口公車站旁,The side of bus stop- Dunhua Minsheng Intersection.,66
TPE0022,0022,TPE,松山車站,Songshan Rail Sta.,25.048824,121.57845,松山車站西出口外自行車格內(鄰近饒河街夜市/五分埔),Bicycle parking lot- West exit in Songshan station,44
